Date,Open,High,Low,Close,Adj,CloseVolume
1983-11-01,0.000000,5.177083,4.906250,4.916667,0.209787,22363200
1983-12-01,0.000000,4.979167,4.843750,4.906250,0.209342,98716800
1984-01-01,0.000000,5.500000,4.916667,5.239583,0.223565,71164800
1984-02-01,0.000000,5.270833,4.916667,5.010417,0.213787,65521200
1984-03-01,0.000000,5.114583,4.729167,4.770833,0.203564,75627600
1984-04-01,0.000000,4.979167,4.625000,4.958333,0.216740,58672800
1984-05-01,0.000000,5.041667,4.583333,4.614583,0.201714,57195600
1984-06-01,0.000000,4.906250,4.625000,4.656250,0.203536,66460800
1984-07-01,4.979170,5.166670,4.625000,5.062500,0.226732,60699600
1984-08-01,5.041667,5.406250,5.031250,5.291667,0.236995,42030000
1984-09-01,5.281250,5.500000,5.229167,5.385417,0.241194,85393200
1984-10-01,5.385417,5.770833,5.270833,5.458333,0.249789,40893600
1984-11-01,5.437500,5.781250,5.322917,5.552083,0.254079,38482800
1984-12-01,5.562500,5.958333,5.500000,5.895833,0.269810,30453600
1985-01-01,5.895833,6.114583,5.697917,6.062500,0.277437,80907600
1985-02-01,6.031250,6.291667,5.979167,6.166667,0.287922,26943600
1985-03-01,6.166667,6.260417,6.031250,6.229167,0.290840,23260800
1985-04-01,6.229167,6.500000,6.062500,6.270833,0.292785,35701200
1985-05-01,6.260417,6.687500,6.135417,6.677083,0.318041,29214000
1985-06-01,6.687500,7.000000,6.552083,7.000000,0.333422,37922400
1985-07-01,7.041667,7.375000,6.666667,6.781250,0.323002,48900000
1985-08-01,6.781250,6.937500,6.520833,6.833333,0.331339,26172000
1985-09-01,6.822917,6.843750,6.416667,6.500000,0.315176,18043200
1985-10-01,6.500000,6.614583,6.291667,6.510417,0.315681,45403200
1985-11-01,6.531250,6.812500,6.479167,6.687500,0.330554,44360400
1985-12-01,6.697917,7.177083,6.593750,7.125000,0.352179,51921600
1986-01-01,7.145833,7.229167,6.583333,7.114583,0.351664,55748400
1986-02-01,7.114583,7.395833,7.020833,7.354167,0.390831,34755600
1986-03-01,7.375000,7.947917,7.333333,7.739583,0.411314,47319600
1986-04-01,7.708333,7.916667,7.354167,7.645833,0.406331,57193200
1986-05-01,7.635417,8.333333,7.552083,8.312500,0.473955,33506400
1986-06-01,8.291667,9.145833,7.916667,9.125000,0.520282,38686800
1986-07-01,8.770833,8.802083,8.302083,8.708333,0.496524,72027600
1986-08-01,8.729167,9.697917,8.645833,9.656250,0.586636,38191200
1986-09-01,9.656250,9.687500,8.500000,8.833333,0.536643,55159200
1986-10-01,8.864583,9.218750,8.687500,8.937500,0.542971,44097600
1986-11-01,8.916667,9.333333,8.833333,9.322917,0.601170,32043600
1986-12-01,9.302083,9.687500,9.187500,9.354167,0.603185,48616800
1987-01-01,9.364583,10.229167,9.343750,9.718750,0.626695,59084400
1987-02-01,9.739583,9.895833,9.187500,9.687500,0.661753,36933600
1987-03-01,9.687500,9.947917,9.531250,9.760417,0.666734,41973600
1987-04-01,9.739583,9.781250,8.416667,8.958333,0.611943,63703200
1987-05-01,8.937500,9.385417,8.302083,9.312500,0.676251,36208800
1987-06-01,9.375000,10.031250,9.125000,9.718750,0.705752,32415600
1987-07-01,9.750000,9.843750,8.718750,9.468750,0.687597,44258400
1987-08-01,9.343750,10.562500,9.343750,9.906250,0.764868,42220000
1987-09-01,9.968750,11.375000,9.125000,10.968750,0.846904,49657600
1987-10-01,11.000000,11.281250,6.875000,9.781250,0.755216,67922400
1987-11-01,9.687500,9.937500,8.187500,8.468750,0.689736,31237200
1987-12-01,8.531250,8.875000,8.156250,8.593750,0.699916,60165200
1988-01-01,8.437500,9.625000,8.250000,9.625000,0.783906,39332400
1988-02-01,9.687500,9.781250,9.187500,9.375000,0.818807,30150000
1988-03-01,9.468750,9.781250,8.906250,9.062500,0.791514,34528000
1988-04-01,8.906250,9.250000,8.656250,8.812500,0.769679,30317600
1988-05-01,8.843750,9.500000,8.406250,9.500000,0.890658,30812000
1988-06-01,9.593750,10.093750,9.250000,9.906250,0.928746,177808400
1988-07-01,9.750000,9.812500,9.062500,9.500000,0.890658,30768800
1988-08-01,9.593750,9.687500,9.093750,9.406250,0.940747,29081600
1988-09-01,9.437500,10.218750,9.312500,10.093750,1.009506,30294000
1988-10-01,10.156250,10.500000,9.875000,10.406250,1.040760,31820000
1988-11-01,10.343750,10.437500,9.875000,10.375000,1.105318,24452800
1988-12-01,10.312500,10.656250,10.031250,10.093750,1.075355,30860800
1989-01-01,9.968750,10.968750,9.718750,10.906250,1.161916,43576400
1989-02-01,10.906250,11.062500,10.531250,10.906250,1.237956,28602400
1989-03-01,10.937500,11.500000,10.875000,11.218750,1.273428,33048400
1989-04-01,11.218750,12.156250,10.968750,12.031250,1.365653,47636800
1989-05-01,11.906250,13.468750,11.843750,12.906250,1.555073,41105200
1989-06-01,12.875000,13.593750,12.406250,12.750000,1.536246,35132000
1989-07-01,12.843750,14.218750,12.593750,14.218750,1.713216,37637600
1989-08-01,14.218750,14.468750,13.250000,13.468750,1.708695,30708400
1989-09-01,13.437500,14.250000,13.125000,14.218750,1.803844,36396400
1989-10-01,14.187500,14.656250,13.343750,13.875000,1.760234,37402400
1989-11-01,13.875000,14.125000,13.250000,14.125000,1.877203,31812400
1989-12-01,14.187500,16.093750,14.156250,15.968750,2.122236,30180800
1990-01-01,15.812500,16.187500,12.687500,13.218750,1.756763,43649600
1990-02-01,13.281250,13.812500,12.906250,13.687500,1.896562,28772000
1990-03-01,13.625000,14.500000,13.500000,14.125000,1.957183,25851600
1990-04-01,14.031250,14.875000,13.312500,13.656250,1.892231,27112800
1990-05-01,13.750000,14.718750,13.437500,14.593750,2.123396,24131600
1990-06-01,14.625000,14.718750,13.156250,13.468750,1.959708,29976800
1990-07-01,13.468750,13.625000,12.843750,13.593750,1.977896,32832400
1990-08-01,13.593750,13.812500,11.812500,12.250000,1.878386,37256400
1990-09-01,12.093750,13.125000,11.812500,13.093750,2.007764,28614800
1990-10-01,13.156250,14.062500,12.906250,13.625000,2.089224,41310800
1990-11-01,13.593750,14.062500,13.031250,13.781250,2.223771,34626800
1990-12-01,13.781250,14.375000,13.687500,14.000000,2.259069,18913200
1991-01-01,13.968750,14.125000,12.500000,13.062500,2.107792,40076400
1991-02-01,13.062500,14.312500,13.000000,13.437500,2.282588,27744000
1991-03-01,13.406250,14.093750,13.250000,14.031250,2.383447,27680800
1991-04-01,14.000000,14.031250,13.062500,13.343750,2.266663,37812800
1991-05-01,13.250000,13.437500,12.250000,12.937500,2.315338,36891600
1991-06-01,12.937500,13.406250,12.375000,13.375000,2.393635,23579600
1991-07-01,13.406250,13.718750,12.968750,13.500000,2.416006,29518400
1991-08-01,13.468750,13.843750,12.875000,13.750000,2.597014,25622000
1991-09-01,13.843750,14.437500,13.656250,13.968750,2.638330,24073200
1991-10-01,14.000000,15.031250,13.437500,15.031250,2.839009,26052000
1991-11-01,15.093750,15.312500,14.093750,14.437500,2.871187,30708000
1991-12-01,14.312500,16.468750,14.062500,16.156250,3.212993,36027200
1992-01-01,16.062500,16.500000,15.062500,15.093750,3.001693,38601600
1992-02-01,15.062500,15.437500,14.250000,15.093750,3.137742,25854400
1992-03-01,15.125000,15.156250,14.250000,14.375000,2.988326,26892000
1992-04-01,14.343750,15.875000,14.156250,15.593750,3.241684,38638400
1992-05-01,15.562500,15.968750,15.000000,15.062500,3.298004,22944800
1992-06-01,15.062500,15.562500,14.843750,15.250000,3.339058,23981600
1992-07-01,15.250000,16.593750,15.218750,16.468750,3.605907,29116000
1992-08-01,16.437500,17.250000,16.218750,16.625000,3.817404,26763600
1992-09-01,16.625000,17.125000,16.062500,17.125000,3.932215,26370000
1992-10-01,17.093750,17.625000,16.218750,16.687500,3.831758,35670000
1992-11-01,16.687500,17.718750,15.875000,17.343750,4.161471,29908400
1992-12-01,17.250000,18.687500,17.187500,18.500000,4.438901,28031600
1993-01-01,18.312500,18.906250,17.187500,17.218750,4.131480,36466000
1993-02-01,17.312500,18.656250,17.093750,18.625000,4.652478,27637600
1993-03-01,18.625000,19.531250,17.875000,19.531250,4.878860,28875600
1993-04-01,19.500000,20.375000,18.812500,19.312500,4.824215,22084000
1993-05-01,19.281250,19.437500,18.500000,19.187500,4.986415,27091000
1993-06-01,19.250000,19.750000,18.562500,19.375000,5.035143,28313800
1993-07-01,19.500000,20.375000,19.312500,20.250000,5.262533,27952800
1993-08-01,20.250000,22.812500,19.812500,22.750000,6.027471,25798600
1993-09-01,22.812500,23.500000,20.875000,21.500000,5.696290,28021000
1993-10-01,21.375000,22.125000,19.812500,22.125000,5.861881,25303200
1993-11-01,22.062500,22.125000,19.937500,21.250000,5.728946,21024200
1993-12-01,21.062500,22.625000,20.187500,20.750000,5.594150,24781800
1994-01-01,20.750000,21.000000,19.000000,20.937500,5.644699,43219600
1994-02-01,20.812500,20.875000,18.375000,19.562500,5.371753,28731000
1994-03-01,19.562500,20.875000,19.250000,20.187500,5.543377,43029200
1994-04-01,19.375000,22.187500,19.312500,20.750000,5.697835,34633400
1994-05-01,20.687500,20.812500,19.250000,20.562500,5.759033,26878000
1994-06-01,20.500000,21.875000,20.312500,21.750000,6.091622,26730800
1994-07-01,21.687500,22.125000,20.937500,21.000000,5.881566,23682200
1994-08-01,20.937500,21.875000,20.375000,20.687500,5.901214,27043200
1994-09-01,20.562500,21.750000,20.125000,21.250000,6.061668,26190800
1994-10-01,21.125000,21.187500,19.625000,20.937500,5.972528,26638000
1994-11-01,20.812500,21.562500,20.000000,20.687500,6.015380,32909600
1994-12-01,20.687500,21.250000,20.187500,20.187500,5.869994,31467400
1995-01-01,20.187500,21.687500,19.875000,21.312500,6.197111,26366600
1995-02-01,21.312500,21.937500,20.312500,20.812500,6.171739,24591400
1995-03-01,20.875000,21.937500,19.812500,21.000000,6.227344,34468200
1995-04-01,20.937500,22.187500,20.812500,22.062500,6.542418,19773800
1995-05-01,22.187500,23.125000,21.312500,22.500000,6.807235,29274400
1995-06-01,22.375000,23.937500,22.187500,23.812500,7.204325,28117200
1995-07-01,23.750000,24.500000,22.750000,24.062500,7.279959,22853600
1995-08-01,24.000000,25.437500,23.687500,25.312500,7.797016,26290200
1995-09-01,25.000000,27.562500,24.750000,27.500000,8.470830,27717000
1995-10-01,27.312500,28.500000,26.625000,27.937500,8.605594,26854800
1995-11-01,27.875000,28.625000,26.562500,27.062500,8.463462,22645400
1995-12-01,27.125000,29.250000,27.062500,28.625000,8.952115,25826800
1996-01-01,28.750000,30.125000,27.312500,28.312500,8.854384,34903800
1996-02-01,28.562500,30.125000,27.125000,27.437500,8.702456,36394400
1996-03-01,27.625000,28.125000,24.875000,26.312500,8.345637,37779600
1996-04-01,25.125000,25.375000,23.125000,25.062500,7.949166,63524000
1996-05-01,25.000000,25.312500,24.187500,24.687500,7.967968,37278800
1996-06-01,24.562500,25.125000,24.000000,24.625000,7.947793,41688000
1996-07-01,24.687500,24.937500,23.625000,24.437500,7.887277,38833000
1996-08-01,24.312500,25.500000,23.187500,23.312500,7.658600,34850800
1996-09-01,23.187500,24.625000,23.000000,24.062500,7.904986,36177600
1996-10-01,24.000000,25.187500,23.500000,24.312500,7.987114,38753000
1996-11-01,24.375000,26.312500,23.812500,26.312500,8.951734,43464400
1996-12-01,26.187500,27.625000,24.250000,25.937500,8.824156,37515000
1997-01-01,25.937500,27.625000,24.812500,27.500000,9.355733,53849200
1997-02-01,27.437500,28.812500,26.437500,28.750000,9.945877,41501200
1997-03-01,28.562500,29.125000,25.562500,26.250000,9.081022,46459400
1997-04-01,26.125000,27.812500,24.625000,27.750000,9.755116,56009600
1997-05-01,27.500000,29.437500,27.312500,29.250000,10.282419,57328800
1997-06-01,29.250000,30.937500,28.062500,30.937500,10.875628,54784600
1997-07-01,30.781250,31.125000,27.781250,29.593750,10.403256,53575400
1997-08-01,29.562500,29.687500,26.781250,27.187500,9.697184,46009800
1997-09-01,27.125000,30.750000,27.062500,30.718750,10.956705,53749000
1997-10-01,30.968750,33.125000,30.000000,31.812500,11.346821,66417000
1997-11-01,31.968750,36.625000,31.343750,36.312500,13.133364,53827800
1997-12-01,36.500000,38.062500,34.781250,36.625000,13.246385,57328400
1998-01-01,37.000000,39.500000,35.375000,38.875000,14.060162,67596400
1998-02-01,38.968750,39.500000,37.156250,37.812500,13.846785,40336600
1998-03-01,37.687500,46.562500,37.281250,43.359375,15.878020,52986600
1998-04-01,43.125000,44.937500,39.375000,41.437500,15.174241,47181800
1998-05-01,41.687500,43.687500,37.125000,38.875000,14.311916,76069600
1998-06-01,38.625000,41.250000,38.375000,40.000000,14.726087,62031900
1998-07-01,39.250000,43.062500,38.937500,40.937500,15.071218,56972300
1998-08-01,40.437500,41.812500,37.875000,38.062500,14.095562,50727800
1998-09-01,38.000000,44.875000,35.000000,44.375000,16.433254,54172700
1998-10-01,44.125000,49.125000,41.125000,46.312500,17.150772,92820700
1998-11-01,46.500000,51.000000,45.625000,47.937500,17.840704,53245100
1998-12-01,48.250000,54.875000,47.250000,53.625000,19.957401,48839300
1999-01-01,52.875000,59.937500,51.125000,54.000000,20.096958,70232700
1999-02-01,54.062500,55.000000,50.062500,52.875000,19.766090,53629600
1999-03-01,52.750000,54.062500,46.062500,47.187500,17.639948,65038400
1999-04-01,48.375000,57.000000,48.000000,55.750000,20.840836,73987200
1999-05-01,55.750000,55.812500,50.000000,51.125000,19.204370,49919800
1999-06-01,51.375000,58.000000,50.000000,58.000000,21.786871,66016100
1999-07-01,57.500000,59.500000,54.687500,57.125000,21.458191,64792900
1999-08-01,57.250000,59.875000,47.500000,48.062500,18.133289,67061800
1999-09-01,48.000000,53.750000,45.375000,51.062500,19.265142,68294600
1999-10-01,51.125000,54.000000,44.062500,52.750000,20.002367,113088100
1999-11-01,52.000000,53.875000,49.500000,52.640625,19.960886,108723700
1999-12-01,52.062500,55.500000,47.375000,48.750000,18.485596,103638200
2000-01-01,48.562500,49.000000,38.562500,42.875000,16.257845,182223700
2000-02-01,43.000000,43.187500,34.812500,37.750000,14.392575,178455900
2000-03-01,40.062500,46.812500,39.750000,42.125000,16.060581,171545100
2000-04-01,42.500000,49.000000,40.437500,43.812500,16.703968,131165700
2000-05-01,44.125000,46.937500,40.812500,43.687500,16.748091,106498200
2000-06-01,44.125000,50.312500,43.234375,44.000000,16.867887,125756800
2000-07-01,44.125000,46.812500,42.187500,42.562500,16.316805,88630400
2000-08-01,42.625000,44.750000,38.437500,41.765625,16.100630,128492800
2000-09-01,42.812500,50.187500,41.750000,49.875000,19.226791,116833000
2000-10-01,49.937500,59.000000,48.500000,57.687500,22.238512,174553600
2000-11-01,57.375000,58.875000,53.500000,54.937500,21.282722,132799300
2000-12-01,54.687500,55.000000,42.625000,47.750000,18.498299,156475800
2001-01-01,47.562500,53.062500,45.250000,48.349998,18.730732,132327900
2001-02-01,48.799999,51.240002,46.000000,47.700001,18.573196,107433000
2001-03-01,48.250000,48.250000,39.500000,44.630001,17.377815,173434500
2001-04-01,44.630001,45.049999,38.380001,41.250000,16.061731,145914300
2001-05-01,41.849998,45.680000,40.860001,43.049999,16.859838,124200000
2001-06-01,42.700001,42.750000,38.200001,40.060001,15.688860,129489000
2001-07-01,40.060001,45.250000,39.740002,45.029999,17.635277,135401300
2001-08-01,45.290001,45.500000,40.599998,40.910000,16.121790,107079000
2001-09-01,40.919998,47.500000,40.709999,47.119999,18.569033,151359900
2001-10-01,46.650002,47.250000,37.750000,38.110001,15.018374,184394900
2001-11-01,38.110001,40.099998,36.500000,37.380001,14.813745,136770100
2001-12-01,37.599998,40.290001,37.200001,39.169998,15.523110,141082800
2002-01-01,39.250000,40.990002,35.119999,37.450001,14.841479,144649000
2002-02-01,37.549999,38.680000,34.290001,37.840000,15.092964,135052000
